"Key","Adv","ObDate","WindField","NE","SE","SW","NW"
"AL152016",29,2016-10-11 09:00:00,"50","30","30","0","0"
"AL152016",29,2016-10-11 09:00:00,"34","100","80","60","60"
"AL152016",28,2016-10-11 03:00:00,"50","60","50","0","0"
"AL152016",28,2016-10-11 03:00:00,"34","140","140","70","60"
"AL152016",27,2016-10-10 21:00:00,"50","60","50","0","0"
"AL152016",27,2016-10-10 21:00:00,"34","140","140","70","60"
"AL152016",26,2016-10-10 15:00:00,"50","50","50","20","0"
"AL152016",26,2016-10-10 15:00:00,"34","160","160","70","60"
"AL152016",25,2016-10-10 09:00:00,"50","50","50","20","0"
"AL152016",25,2016-10-10 09:00:00,"34","180","160","70","60"
"AL152016",24,2016-10-10 03:00:00,"50","40","50","20","0"
"AL152016",24,2016-10-10 03:00:00,"34","100","160","70","60"
"AL152016",23,2016-10-09 21:00:00,"50","40","50","20","0"
"AL152016",23,2016-10-09 21:00:00,"34","100","160","70","60"
"AL152016",22,2016-10-09 15:00:00,"50","30","40","0","0"
"AL152016",22,2016-10-09 15:00:00,"34","60","100","60","50"
"AL152016",21,2016-10-09 09:00:00,"34","60","100","60","50"
"AL152016",20,2016-10-09 03:00:00,"34","50","90","50","40"
"AL152016",19,2016-10-08 21:00:00,"34","50","90","50","40"
"AL152016",18,2016-10-08 15:00:00,"34","50","80","60","20"
"AL152016",17,2016-10-08 09:00:00,"34","50","80","70","40"
"AL152016",16,2016-10-08 03:00:00,"50","30","40","0","0"
"AL152016",16,2016-10-08 03:00:00,"34","50","70","50","50"
"AL152016",15,2016-10-07 21:00:00,"50","30","30","0","0"
"AL152016",15,2016-10-07 21:00:00,"34","70","70","40","40"
"AL152016",14,2016-10-07 15:00:00,"50","30","20","0","0"
"AL152016",14,2016-10-07 15:00:00,"34","70","70","40","40"
"AL152016",13,2016-10-07 09:00:00,"64","15","15","10","10"
"AL152016",13,2016-10-07 09:00:00,"50","30","30","20","20"
"AL152016",13,2016-10-07 09:00:00,"34","80","80","50","50"
"AL152016",12,2016-10-07 03:00:00,"64","15","15","10","10"
"AL152016",12,2016-10-07 03:00:00,"50","30","30","20","20"
"AL152016",12,2016-10-07 03:00:00,"34","80","80","50","50"
"AL152016",11,2016-10-06 21:00:00,"64","15","15","0","0"
"AL152016",11,2016-10-06 21:00:00,"50","30","30","0","0"
"AL152016",11,2016-10-06 21:00:00,"34","60","60","30","40"
"AL152016",10,2016-10-06 18:00:00,"64","15","15","0","0"
"AL152016",10,2016-10-06 18:00:00,"50","30","30","0","0"
"AL152016",10,2016-10-06 18:00:00,"34","60","60","30","40"
"AL152016",9,2016-10-06 15:00:00,"50","30","30","0","0"
"AL152016",9,2016-10-06 15:00:00,"34","60","60","30","40"
"AL152016",8,2016-10-06 09:00:00,"50","30","30","0","0"
"AL152016",8,2016-10-06 09:00:00,"34","60","60","30","40"
"AL152016",7,2016-10-06 03:00:00,"50","30","30","20","20"
"AL152016",7,2016-10-06 03:00:00,"34","70","70","40","50"
"AL152016",6,2016-10-05 21:00:00,"50","20","20","0","0"
"AL152016",6,2016-10-05 21:00:00,"34","60","60","30","40"
"AL152016",5,2016-10-05 15:00:00,"34","60","60","0","0"
"AL152016",4,2016-10-05 09:00:00,"34","60","60","0","0"
"AL152016",3,2016-10-05 03:00:00,"34","60","60","0","0"
"AL152016",2,2016-10-04 21:00:00,"34","60","60","0","0"
"AL152016",1,2016-10-04 15:00:00,"34","60","60","0","0"
"AL142016",47,2016-10-09 21:00:00,"64","0","0","60","80"
"AL142016",47,2016-10-09 21:00:00,"50","40","60","100","120"
"AL142016",47,2016-10-09 21:00:00,"34","210","150","180","210"
"AL142016",46,2016-10-09 15:00:00,"64","0","0","60","0"
"AL142016",46,2016-10-09 15:00:00,"50","40","60","90","90"
"AL142016",46,2016-10-09 15:00:00,"34","210","180","200","160"
"AL142016",45,2016-10-09 09:00:00,"64","0","0","60","0"
"AL142016",45,2016-10-09 09:00:00,"50","70","80","110","30"
"AL142016",45,2016-10-09 09:00:00,"34","210","180","150","90"
"AL142016",44,2016-10-09 03:00:00,"64","0","0","60","0"
"AL142016",44,2016-10-09 03:00:00,"50","70","80","90","30"
"AL142016",44,2016-10-09 03:00:00,"34","160","140","120","70"
"AL142016",43,2016-10-08 21:00:00,"64","20","20","15","0"
"AL142016",43,2016-10-08 21:00:00,"50","60","80","30","20"
"AL142016",43,2016-10-08 21:00:00,"34","160","140","70","70"
"AL142016",42,2016-10-08 15:00:00,"64","20","20","0","0"
"AL142016",42,2016-10-08 15:00:00,"50","60","50","30","30"
"AL142016",42,2016-10-08 15:00:00,"34","160","140","80","70"
"AL142016",41,2016-10-08 09:00:00,"64","40","40","20","25"
"AL142016",41,2016-10-08 09:00:00,"50","80","70","50","40"
"AL142016",41,2016-10-08 09:00:00,"34","160","140","80","70"
"AL142016",40,2016-10-08 03:00:00,"64","50","50","35","35"
"AL142016",40,2016-10-08 03:00:00,"50","80","70","50","50"
"AL142016",40,2016-10-08 03:00:00,"34","160","140","80","100"
"AL142016",39,2016-10-07 21:00:00,"64","50","40","40","40"
"AL142016",39,2016-10-07 21:00:00,"50","80","70","60","60"
"AL142016",39,2016-10-07 21:00:00,"34","160","140","80","120"
"AL142016",38,2016-10-07 15:00:00,"64","50","40","40","40"
"AL142016",38,2016-10-07 15:00:00,"50","80","70","60","60"
"AL142016",38,2016-10-07 15:00:00,"34","160","140","80","120"
"AL142016",37,2016-10-07 09:00:00,"64","50","40","30","50"
"AL142016",37,2016-10-07 09:00:00,"50","70","70","50","70"
"AL142016",37,2016-10-07 09:00:00,"34","160","140","80","120"
"AL142016",36,2016-10-07 03:00:00,"64","50","40","30","50"
"AL142016",36,2016-10-07 03:00:00,"50","70","70","50","70"
"AL142016",36,2016-10-07 03:00:00,"34","160","140","90","120"
"AL142016",35,2016-10-06 21:00:00,"64","50","40","30","50"
"AL142016",35,2016-10-06 21:00:00,"50","70","70","40","70"
"AL142016",35,2016-10-06 21:00:00,"34","160","130","70","120"
"AL142016",34,2016-10-06 15:00:00,"64","50","40","30","50"
"AL142016",34,2016-10-06 15:00:00,"50","70","70","40","70"
"AL142016",34,2016-10-06 15:00:00,"34","140","130","70","100"
"AL142016",33,2016-10-06 09:00:00,"64","35","30","25","25"
"AL142016",33,2016-10-06 09:00:00,"50","70","70","40","40"
"AL142016",33,2016-10-06 09:00:00,"34","140","130","70","90"
"AL142016",32,2016-10-06 03:00:00,"64","40","30","30","40"
"AL142016",32,2016-10-06 03:00:00,"50","70","40","40","50"
"AL142016",32,2016-10-06 03:00:00,"34","150","120","60","90"
"AL142016",31,2016-10-05 21:00:00,"64","40","30","30","40"
"AL142016",31,2016-10-05 21:00:00,"50","70","40","40","50"
"AL142016",31,2016-10-05 21:00:00,"34","150","120","60","90"
"AL142016",30,2016-10-05 15:00:00,"64","40","30","30","40"
"AL142016",30,2016-10-05 15:00:00,"50","70","50","50","60"
"AL142016",30,2016-10-05 15:00:00,"34","150","140","80","90"
"AL142016",29,2016-10-05 09:00:00,"64","35","35","35","35"
"AL142016",29,2016-10-05 09:00:00,"50","60","60","50","60"
"AL142016",29,2016-10-05 09:00:00,"34","140","140","80","90"
"AL142016",28,2016-10-05 03:00:00,"64","40","40","40","40"
"AL142016",28,2016-10-05 03:00:00,"50","60","60","50","60"
"AL142016",28,2016-10-05 03:00:00,"34","140","150","80","100"
"AL142016",27,2016-10-04 21:00:00,"64","40","40","40","40"
"AL142016",27,2016-10-04 21:00:00,"50","60","60","50","60"
"AL142016",27,2016-10-04 21:00:00,"34","100","150","80","80"
"AL142016",26,2016-10-04 15:00:00,"64","50","40","30","50"
"AL142016",26,2016-10-04 15:00:00,"50","70","70","50","80"
"AL142016",26,2016-10-04 15:00:00,"34","160","150","100","120"
"AL142016",25,2016-10-04 09:00:00,"64","35","35","30","30"
"AL142016",25,2016-10-04 09:00:00,"50","70","70","50","50"
"AL142016",25,2016-10-04 09:00:00,"34","160","150","100","120"
"AL142016",24,2016-10-04 03:00:00,"64","35","30","30","30"
"AL142016",24,2016-10-04 03:00:00,"50","70","60","50","50"
"AL142016",24,2016-10-04 03:00:00,"34","160","100","90","120"
"AL142016",23,2016-10-03 21:00:00,"64","35","30","30","30"
"AL142016",23,2016-10-03 21:00:00,"50","70","50","50","50"
"AL142016",23,2016-10-03 21:00:00,"34","160","100","90","120"
"AL142016",22,2016-10-03 15:00:00,"64","30","30","20","30"
"AL142016",22,2016-10-03 15:00:00,"50","60","50","40","50"
"AL142016",22,2016-10-03 15:00:00,"34","160","100","90","110"
"AL142016",21,2016-10-03 09:00:00,"64","25","25","20","25"
"AL142016",21,2016-10-03 09:00:00,"50","50","50","40","50"
"AL142016",21,2016-10-03 09:00:00,"34","170","100","90","110"
"AL142016",20,2016-10-03 03:00:00,"64","20","20","20","20"
"AL142016",20,2016-10-03 03:00:00,"50","50","40","30","40"
"AL142016",20,2016-10-03 03:00:00,"34","170","60","60","100"
"AL142016",19,2016-10-02 21:00:00,"64","30","20","15","20"
"AL142016",19,2016-10-02 21:00:00,"50","60","40","30","50"
"AL142016",19,2016-10-02 21:00:00,"34","180","60","60","120"
"AL142016",18,2016-10-02 15:00:00,"64","30","20","15","20"
"AL142016",18,2016-10-02 15:00:00,"50","60","40","30","50"
"AL142016",18,2016-10-02 15:00:00,"34","180","60","60","120"
"AL142016",17,2016-10-02 09:00:00,"64","20","20","15","15"
"AL142016",17,2016-10-02 09:00:00,"50","50","40","30","50"
"AL142016",17,2016-10-02 09:00:00,"34","180","60","60","160"
"AL142016",16,2016-10-02 03:00:00,"64","20","20","15","15"
"AL142016",16,2016-10-02 03:00:00,"50","50","40","30","50"
"AL142016",16,2016-10-02 03:00:00,"34","180","60","60","170"
"AL142016",15,2016-10-01 21:00:00,"64","20","20","15","15"
"AL142016",15,2016-10-01 21:00:00,"50","50","40","30","50"
"AL142016",15,2016-10-01 21:00:00,"34","180","60","60","170"
"AL142016",14,2016-10-01 15:00:00,"64","25","20","20","25"
"AL142016",14,2016-10-01 15:00:00,"50","70","40","30","70"
"AL142016",14,2016-10-01 15:00:00,"34","180","60","50","170"
"AL142016",13,2016-10-01 09:00:00,"64","30","20","20","40"
"AL142016",13,2016-10-01 09:00:00,"50","80","30","30","70"
"AL142016",13,2016-10-01 09:00:00,"34","180","60","50","170"
"AL142016",12,2016-10-01 03:00:00,"64","30","20","20","40"
"AL142016",12,2016-10-01 03:00:00,"50","80","30","30","75"
"AL142016",12,2016-10-01 03:00:00,"34","180","60","50","170"
"AL142016",11,2016-09-30 21:00:00,"64","30","20","20","30"
"AL142016",11,2016-09-30 21:00:00,"50","90","30","30","70"
"AL142016",11,2016-09-30 21:00:00,"34","170","70","50","170"
"AL142016",10,2016-09-30 15:00:00,"64","30","20","20","30"
"AL142016",10,2016-09-30 15:00:00,"50","80","30","30","80"
"AL142016",10,2016-09-30 15:00:00,"34","170","100","50","170"
"AL142016",9,2016-09-30 09:00:00,"64","40","15","15","30"
"AL142016",9,2016-09-30 09:00:00,"50","80","30","30","60"
"AL142016",9,2016-09-30 09:00:00,"34","160","100","50","140"
"AL142016",8,2016-09-30 06:00:00,"64","40","15","15","30"
"AL142016",8,2016-09-30 06:00:00,"50","90","30","20","60"
"AL142016",8,2016-09-30 06:00:00,"34","160","100","50","140"
"AL142016",7,2016-09-30 03:00:00,"64","40","0","15","20"
"AL142016",7,2016-09-30 03:00:00,"50","90","0","25","60"
"AL142016",7,2016-09-30 03:00:00,"34","160","100","50","140"
"AL142016",6,2016-09-29 21:00:00,"64","60","0","0","20"
"AL142016",6,2016-09-29 21:00:00,"50","110","0","0","60"
"AL142016",6,2016-09-29 21:00:00,"34","160","100","50","140"
"AL142016",5,2016-09-29 15:00:00,"50","100","0","0","50"
"AL142016",5,2016-09-29 15:00:00,"34","180","120","50","150"
"AL142016",4,2016-09-29 09:00:00,"50","75","0","0","75"
"AL142016",4,2016-09-29 09:00:00,"34","160","100","0","90"
"AL142016",3,2016-09-29 03:00:00,"50","75","0","0","0"
"AL142016",3,2016-09-29 03:00:00,"34","160","100","0","90"
"AL142016",2,2016-09-28 21:00:00,"50","100","0","0","0"
"AL142016",2,2016-09-28 21:00:00,"34","180","100","0","90"
"AL142016",1,2016-09-28 15:00:00,"50","120","0","0","0"
"AL142016",1,2016-09-28 15:00:00,"34","180","90","0","60"
"AL132016",21,2016-09-24 21:00:00,"",NA,NA,NA,NA
"AL132016",20,2016-09-24 15:00:00,"34","70","0","0","50"
"AL132016",19,2016-09-24 09:00:00,"",NA,NA,NA,NA
"AL132016",18,2016-09-24 03:00:00,"",NA,NA,NA,NA
"AL132016",17,2016-09-23 21:00:00,"",NA,NA,NA,NA
"AL132016",16,2016-09-23 15:00:00,"34","130","0","0","70"
"AL132016",15,2016-09-23 09:00:00,"34","130","0","0","70"
"AL132016",14,2016-09-23 03:00:00,"34","170","0","0","80"
"AL132016",13,2016-09-22 21:00:00,"34","150","0","0","80"
"AL132016",12,2016-09-22 15:00:00,"34","150","0","0","80"
"AL132016",11,2016-09-22 09:00:00,"34","110","60","0","60"
"AL132016",10,2016-09-22 03:00:00,"34","110","60","0","70"
"AL132016",9,2016-09-21 21:00:00,"34","110","50","0","50"
"AL132016",8,2016-09-21 15:00:00,"34","110","50","0","50"
"AL132016",7,2016-09-21 09:00:00,"34","110","80","0","50"
"AL132016",6,2016-09-21 03:00:00,"34","110","80","0","50"
"AL132016",5,2016-09-20 21:00:00,"34","60","50","0","50"
"AL122016",45,2016-09-25 15:00:00,"50","70","80","30","0"
"AL122016",45,2016-09-25 15:00:00,"34","140","160","90","60"
"AL122016",44,2016-09-25 09:00:00,"50","70","80","30","0"
"AL122016",44,2016-09-25 09:00:00,"34","140","160","90","60"
"AL122016",43,2016-09-25 03:00:00,"50","60","60","30","0"
"AL122016",43,2016-09-25 03:00:00,"34","100","150","90","70"
"AL122016",42,2016-09-24 21:00:00,"50","60","60","30","0"
"AL122016",42,2016-09-24 21:00:00,"34","100","150","90","70"
"AL122016",41,2016-09-24 15:00:00,"50","60","60","0","30"
"AL122016",41,2016-09-24 15:00:00,"34","100","100","90","90"
"AL122016",40,2016-09-24 09:00:00,"50","50","50","40","50"
"AL122016",40,2016-09-24 09:00:00,"34","100","100","90","90"
"AL122016",39,2016-09-24 03:00:00,"50","50","50","50","50"
"AL122016",39,2016-09-24 03:00:00,"34","100","100","70","90"
"AL122016",38,2016-09-23 21:00:00,"50","30","20","20","40"
"AL122016",38,2016-09-23 21:00:00,"34","100","80","50","90"
"AL122016",37,2016-09-23 15:00:00,"50","0","0","0","30"
"AL122016",37,2016-09-23 15:00:00,"34","100","0","0","100"
"AL122016",36,2016-09-23 09:00:00,"50","0","0","0","30"
"AL122016",36,2016-09-23 09:00:00,"34","100","0","0","100"
"AL122016",35,2016-09-23 03:00:00,"34","120","0","0","120"
"AL122016",34,2016-09-22 21:00:00,"34","120","0","0","120"
"AL122016",33,2016-09-22 15:00:00,"",NA,NA,NA,NA
"AL122016",32,2016-09-22 09:00:00,"",NA,NA,NA,NA
"AL122016",31,2016-09-22 03:00:00,"",NA,NA,NA,NA
"AL122016",30,2016-09-21 21:00:00,"",NA,NA,NA,NA
"AL122016",29,2016-09-21 15:00:00,"",NA,NA,NA,NA
"AL122016",28,2016-09-21 09:00:00,"",NA,NA,NA,NA
"AL122016",27,2016-09-21 03:00:00,"34","120","0","0","0"
"AL122016",26,2016-09-20 21:00:00,"34","120","0","0","80"
"AL122016",25,2016-09-20 15:00:00,"34","120","0","0","80"
"AL122016",24,2016-09-20 09:00:00,"34","120","0","0","80"
"AL122016",23,2016-09-20 03:00:00,"34","100","0","0","80"
"AL122016",22,2016-09-19 21:00:00,"34","100","0","0","80"
"AL122016",21,2016-09-19 15:00:00,"34","100","0","0","80"
"AL122016",20,2016-09-19 09:00:00,"34","100","0","0","80"
"AL122016",19,2016-09-19 03:00:00,"34","100","0","0","80"
"AL122016",18,2016-09-18 21:00:00,"34","100","0","0","80"
"AL122016",17,2016-09-18 15:00:00,"34","150","0","0","0"
"AL122016",16,2016-09-18 09:00:00,"34","200","0","0","0"
"AL122016",15,2016-09-18 03:00:00,"34","200","0","0","90"
"AL122016",14,2016-09-17 21:00:00,"34","200","0","0","100"
"AL122016",13,2016-09-17 15:00:00,"34","210","0","0","100"
"AL122016",12,2016-09-17 09:00:00,"34","180","0","0","110"
"AL122016",11,2016-09-17 03:00:00,"34","180","0","0","120"
"AL122016",10,2016-09-16 21:00:00,"34","200","80","0","80"
"AL122016",9,2016-09-16 15:00:00,"34","200","80","0","80"
"AL122016",8,2016-09-16 09:00:00,"34","140","80","0","80"
"AL122016",7,2016-09-16 03:00:00,"34","140","80","0","80"
"AL112016",12,2016-09-16 21:00:00,"34","30","0","0","30"
"AL112016",11,2016-09-16 15:00:00,"34","60","0","0","0"
"AL112016",10,2016-09-16 09:00:00,"34","60","0","0","0"
"AL112016",9,2016-09-16 03:00:00,"34","70","0","0","0"
"AL112016",8,2016-09-15 21:00:00,"34","70","0","0","0"
"AL112016",5,2016-09-15 03:00:00,"34","100","0","0","60"
"AL112016",2,2016-09-14 09:00:00,"34","70","0","0","0"
"AL112016",1,2016-09-14 03:00:00,"34","40","40","0","0"
"AL102016",17,2016-09-16 15:00:00,"50","0","100","60","0"
"AL102016",17,2016-09-16 15:00:00,"34","180","210","210","0"
